2024-01-28 01:44:56,360 INFO    StreamThr :9512 [internal.py:wandb_internal():86] W&B internal server running at pid: 9512, started at: 2024-01-28 01:44:56.360150
2024-01-28 01:44:56,360 DEBUG   HandlerThread:9512 [handler.py:handle_request():146] handle_request: status
2024-01-28 01:44:56,368 INFO    WriterThread:9512 [datastore.py:open_for_write():87] open: F:\backup-kali\Hackathons\ViduraAI\wandb\run-20240128_014456-o0cru26b\run-o0cru26b.wandb
2024-01-28 01:44:56,368 DEBUG   SenderThread:9512 [sender.py:send():382] send: header
2024-01-28 01:44:56,399 DEBUG   SenderThread:9512 [sender.py:send():382] send: run
2024-01-28 01:44:57,818 INFO    SenderThread:9512 [dir_watcher.py:__init__():211] watching files in: F:\backup-kali\Hackathons\ViduraAI\wandb\run-20240128_014456-o0cru26b\files
2024-01-28 01:44:57,837 DEBUG   HandlerThread:9512 [handler.py:handle_request():146] handle_request: check_version
2024-01-28 01:44:57,839 INFO    SenderThread:9512 [sender.py:_start_run_threads():1136] run started: o0cru26b with start time 1706386496.36015
2024-01-28 01:44:57,839 DEBUG   SenderThread:9512 [sender.py:send_request():409] send_request: check_version
2024-01-28 01:44:58,355 DEBUG   HandlerThread:9512 [handler.py:handle_request():146] handle_request: run_start
2024-01-28 01:44:58,368 DEBUG   HandlerThread:9512 [system_info.py:__init__():27] System info init
2024-01-28 01:44:58,368 DEBUG   HandlerThread:9512 [system_info.py:__init__():42] System info init done
2024-01-28 01:44:58,368 INFO    HandlerThread:9512 [system_monitor.py:start():194] Starting system monitor
2024-01-28 01:44:58,368 INFO    SystemMonitor:9512 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-01-28 01:44:58,368 INFO    HandlerThread:9512 [system_monitor.py:probe():214] Collecting system info
2024-01-28 01:44:58,368 DEBUG   HandlerThread:9512 [system_info.py:probe():151] Probing system
2024-01-28 01:44:58,368 INFO    SystemMonitor:9512 [interfaces.py:start():190] Started cpu monitoring
